	Das Gilgamesh-epos	Beck
Emerson, Ralph Waldo	Self Reliance	Amazon
Erös, Reinhard	Tee mit dem Teufel	Hoffmann und Campe
Eschenbach, Andreas	Eine Billion Dollar	Bastei-Luebbe
Euripides	Die Bakchen	reclam
Euripides	Hekabe	Reclam
Euripides	Iphigenie bei den Taurern	reclam
Euripides	Medea	reclam
Exupery, Antoine	Der Kleine Prinz	Galimart
Faulkner, William	Die Unbesiegten	Diogenes
Faulkner, William	The Sound and the Fury	Everyman’s Library
Fellmann, Ferdinand	Die Angst des Ethiklehrers vor der Klasse	reclam
Fetscher, Iring	Marx	Suhrkamp
Fetscher, Iring	Rousseaus politische Philosopohie	Suhrkmap
Feyerabend, Paul	Erkenntnis für freie Menschen	Suhrkamp
Feyerabend, Paul	Wissenschaft als Kunst	Suhrkamp
Fielding, Henry	The History of Tom Jones	Penguin
Fitzgerald, Francis Scott	Der Seltsame Fall des Benjamin Button	Diogenes
Fitzgerald, Francis Scott	Der große Gatsby	Büchergilde
Fitzgerald, Francis Scott	The Great Gatsby	reclam
Flaubert, Gustave	Salammbo	Inselverlag
Flynn, Thomas	Existentialism	Oxford
Fontane, Theodor	Effi Briest	Klett
Foucault, Michael	Der Wille zum Wissen	Suhrkamp
Foucault, Michel	Wahnsinn und Gesellschaftee	Suhrkamp
Francis Bacon	New Organon	Meiner
Frank,Anne	Tagebuch 	Fischer
Frankfurt, Harry G.	On Bullshit	Princeton University Press
Frankfurt, Harry G.	On Inequality	Princeton University Press
Frankfurt, Harry G.	On Truth	Knopf
Frankl, Viktor	Man's search for meaning	Beacon
Freely, John	Aristoteles in Oxford	Büchergilde
Freely, John	Platon in Bagdag	Büchergilde
Friedriksson, Marianne	Simon	Fischer
Frisch, Max	Andorra	Suhrkamp
Frisch, Max	Homo Faber	Suhrkamp
Frisch, Max	Mein Name sei Gantenbein	Suhrkamp
Frisch, Max	Stiller	Suhrkamp
Gaarder, Jostein	Sofies Welt	dtv
Gaardner, Jostein	Hallo, ist da jemand?	Hanser
Gadamer, Hans-Georg	Der Anfang des Wissens	reclam
Gerlach, Stefan	Immanuel  Kant	UTB
Gladwell, Malcolm	What the Dog Saw	Backbay books
Goethe, Johann Wolfgang	Die Leiden des jungen Werthers	dtv
Goethe, Johann Wolfgang	Faust I	Fischer
Goethe, Johann Wolfgang	Faust II	Fischer
Golding, William	Lord of the Flies	reclam
Goleman, Daniel	Emotionale Intelligenz	dtv
Grassi, Ernesto	Der Utopische Staat	rororo
Guerrier, Simon and Kukula, Marek	The Scientific Secrets of Doctor Who	BBC Books
Haeckel, Ernst 	Natuerliche Schoepfungsgeschichte	de Gruyter
Handke, Peter	Die Angst des Tormanns beim Elfmeter	SZ
Harel, David	Computers	Oxford
Hauptmann, Gerhard	Bahnwärter Thiel	Cornelsen
Hawking, Stephen	Die Kürzeste Geschichte der Zeit	rororo
Hawthorne, Nathaniel	Das grosse Steingesicht	Büchergilde
Hegel, Georg Wilhelm Friedrich	Phänomenologie des Geistes	Suhrkamp
Heidegger, Martin	Sein und Zeit	Max Niemeyer Verlag
Heine, Heinrich	Die Harzreise	reclam
Heisenberg, Werner	Die Einheit des Naturwissenschaftlichen Weltbilds	Lesung
Heisenberg, Werner	Quantentheorie und Philosophie	reclam
Hemingway, Earnest	A Farewell to Arms	Arrow
Hemingway, Ernest	Der alte Mann und das Meer	Buechergilde
Hemingway, Ernest	The snows of Kilimanjaro	reclam
Hemingway, Ernest 	Die Hauptstadt der Welt 	rororo
Herman, Melville	Der Schreiber Bartleby	Büchergilde
Hesiod	Theogonie	Academia
Hesse, Hermann	Das Glasperlenspiel	Suhrkamp
Hesse, Hermann	Demian	Suhrkamp
Hesse, Hermann	Jedem Anfang Wohnt ein Zauber Inne 	Inselverlag
Hesse, Hermann	Kinderseele	Suhrkamp
Hesse, Hermann	Knulp	Suhrkamp
Hesse, Hermann	Musik des Einsamen	Anaconda
Hesse, Hermann	Narziss und Goldmund	Suhrkamp
Hesse, Hermann	Peter Camenzind	Suhrkamp
Hesse, Hermann	Rosshalde	Suhrkamp
Hesse, Hermann	Siddhartha	Suhrkamp
Hesse, Hermann	Steppenwolf	Suhrkamp
Hesse, Hermann	Unterm Rad 	Sueddeutsche
Hesser, Hermann	Gertrud	Suhrkamp
Highsmith, Patricia	Der talentierte Mr. Ripley	SZ
Hobbes, Thomas	Der Leviathan	Anaconda
Hobbes, Thomas	Leviathan	Philosophische Bibliothek
Homer	Illias und Odyssee	Insel
Horkheimer, Max	Traditionelle und Kritische Theorie	Fischer
Horkheimer, Max and Adorno, Theodor	Dialektik der Aufklärung	Fischer
Hornby, Nick	A Long Way Down	Penguin
Hornby, Nick	A long way down	Knaur
Hornby, Nick	Feverpitch	Penguin
Hornby, Nick	High Fidelity	Penguin
Hornby, Nick	How to be Good	Penguing
Hornby, Nick	Juliett, Naked	Penguin
Hornby, Nick	Mein Leben als Leser	KiWi
Houellebecq, Michel	Ausweitung der Kampfzone	rororo
Houellebecq, Michel	Elementarteilchen	Dumont
Houellebecq, Michel	Karte und Gebiet	Dumont
Houellebecq, Michel	Plattform	Dumont
Houellebecq, Michel	Unterwerfung	Büchergilde
