	Das Gilgamesh-epos	Beck
Wells, Herbert George	Die Tür in der Mauer	Büchergilde
Werfel, Franz	Der Abituriententag	Fischer
Wilde, Oscar	Das Bildnis des Dorian Gray	Inselverlag
Wilde, Oscar	Lord Arthur Savilles Verbrechen	Büchergilde
Wilde, Oscar	The Importance of Being Earnest	Penguin
Wilde, Oscar	The Picture of Dorian Gray	TOR
Williams, John	Augustus	Büchergilde
Wisnewski, Gerhard	Drahtzieher der Macht	Knaur
Wittgenstein, Ludwig	Tractatus Logico-Philosophicus	Suhrkamp
Wittgenstein, Ludwig	Werksausgabe, Band 1	Suhrkamp
Wolfe, Thomas	Look homeward angel	Scribner
Wolfe, Tom	Back to Blood	LB
Wolfe, Tom	The Bonfire of the Vanities	Vintage
Yeats, William Butler	The Collected Poems	Wordsworth
Ziliak, Stephen and McCloskey, Deirdre	The Cult of Statistical Significance	University of Michigan Press
Zimmerling, Dieter	Stoertebeker	Bechtermuenz
Zizek, Slavoj	Like a Thief in Broad Daylight	Allen Lane
Zuckmayer, Carl	Der Hauptmann von Köpenick	Fischer
Zweig, Stefan	Baumeister der Welt	Fischer
de Balzac, Honore	Cousin Pons	Diogenes
de L’Isle-Adam, Villiers	Der Tischgast der letzten Feste	Büchergilde
van den Brink, Hans .M.	Ueber das Wasser	Buechergilde
von Ditfurt, Hoimar	So lass uns denn Apfelbaeume Pflanzen	Rasch und Röhring
von Hofmannsthal, Hugo	Der Brief des Lord Chantos	reclam
von Hofmannsthal, Hugo	Jedermann	reclam
von Horvath, Ödön	Ein Kind unserer Zeit	Suhrkamp
von Horvath, Ödön	Glaube Liebe Hoffnung	Suhrkamp
von Horvath, Ödön	Jugend ohne Gott	Suhrkamp
von Sacher-Masoch, Leopold	Venus in Furs	Echo
Nozick, Robert	Anarchy, State and Utopia	Basic Books
Borges, Jorge Luis	25. August 1983	Büchergilde
Galland, Antoine	Tausendundeine Nacht	Büchergilde
Hinton, Charles Howard	Wissenschaftliche Erzählungen	Büchergilde
Poe, Edgar Allan	Der entwendete Brieg	Büchergilde
De Alarcon, Pedro	Der Freund des Todes	Büchergilde
Bloy, Leon	Unliebsame Geschichten	Büchergilde
Lugones, Leopoldo	Die Salzsäule	Büchergilde
Stevenson, Robert Louis	Die Insel der Stimmen	Büchergilde
Papini, Giovanni	Der Spiegel auf der Flucht	Büchergilde
Sung-ling, P`U	Gast Tiger	Büchergilde
Beckford, William	Vathek	Büchergilde
Sophokles	Ödipus auf Kolonos	Insel
Shakespeare, William	Richard II	Tredition Classics
Shakespeare, William	Richard III	Tredition Classics
Sandel, Michael	What Money can't buy	Penguin
Claudel, Paul	The Hostage	Cornell University Library
Badiou, Alain	Ethics: An Essay on the Understanding of Evil	Radical Thinkers
Honneth, Axel	Die Idee des Sozialismus	Suhrkamp
Giridharadas, Anand	Winners take all	Knopf
Hume, David	Morals, Politics and Society	Yale University Press
Wilde, Oscar	Der Sozialismus und die Seele des Menschen	Diogenes
Zehnpfennig, Barbara	Platon	Junius
Böke, Henning	Maoismus	Schmetterling
Heinrich, Michael	Kritik der politischen Ökonomie	Schmetterling
Platon	Sämtliche Werke - Band 3	rororo
Bernhard, Thomas	Holzfällen	Suhrkamp
Zizek, Slavoj	The Relevance of the Communist Manifesto	Polity Press
Gamm, Gerhard	Der Deutsche Idealismus	reclam
Adorno, Theodor	Erziehung zur Mündigkeit	Suhrkamp
Wilde, Oscar	Intentions	Tredition Classics
Wilde, Oscar	Ballad of Reading Gaol	Tredition Classics
Mann, Michael	The Madhouse Effect	Columbia
Foucault, Michel	Überwachen und Strafe	Suhrkamp
Carlisle, Clare	Philosopher of the Heart	allen lane
Lüdemann, Susanne	Jacques Derrida zur Einführung	Junius
Bertram, Georg W.	Hegels Phänomenologie des Geistes	reclam
Picketty, Thomas	Das Kapital im 21. Jahrhundert	Beck
Picketty, Thomas	Okonomie der Ungleichheit	Beck
Adorno, Theodor	Aspekte des neues Rechtsradikalismus	Suhrkamp
Hume, David	An Enquiry concerning Human Understanding	Oxford World's Classics
Aristoteles	Posterior Analytics	Loeb Classical Library
Carnap, Rudolph	The Unity of Science	Routledge
Feyerabend, Paul	Against Method	Verso
Marcuse, Herbert	Eros and Civilization	Beacon Press
Bergstrom, Carl and West Jevin	Calling Bullshit	allen lane
Jones, Gareth	Karl Marx	Penguin
Keucheyan, Razmig	The Left Hemisphere	Verso
Eco, Umberto	Il Cimitero Di Praga	Bompiani
Klein, Matthew and Pettis, Michael	Trade Wars are Class Wars	Yale University Press
Smith, Adam	The Wealth of Nations	Everyman’s Library
Thompson, Elizabeth	How the West Stole Democracy from the Arabs	Ingram
Picketty, Thomas	Capital and Ideology	Belknap
Lakatos, Imre	Proofs and Refutations	Cambridge Philosophy
Pettigrew, Richard	Dutch Book Arguments	Cambridge Elements
Lakatos, Imre and Musgrave, Alan	Criticism and the Growth of Knowledge	Cambridge
Popper, Karl and Miller, David	Selections	Princeton University Press
Popper, Karl	After the Open Society	Routledge
Popper, Karl	Conjectures and Refutations	Routledge
